GeneID,D_melanogaster_Protein_ID,D_melanogaster_Gene_ID,accession,Gene_name
GB44914,#N/A,#N/A,XM_623895.4," PREDICTED: Apis mellifera fringe glycosyltransferase (fng), transcript variant X2, mRNA"
GB44917,FBpp0077926,FBgn0052432,XR_410742.1," PREDICTED: Apis mellifera uncharacterized LOC102654866 (LOC102654866), transcript variant X2, ncRNA"
GB44918,FBpp0087335,FBgn0010356,XM_006566619.1," PREDICTED: Apis mellifera transcription initiation factor TFIID subunit 5 (Taf5), transcript variant X1, mRNA"
GB44919,#N/A,#N/A,XR_410707.1," PREDICTED: Apis mellifera uncharacterized LOC102653678 (LOC102653678), transcript variant X15, ncRNA"
GB44920,#N/A,#N/A,XR_410707.1," PREDICTED: Apis mellifera uncharacterized LOC102653678 (LOC102653678), transcript variant X15, ncRNA"
GB44921,#N/A,#N/A,XR_410702.1," PREDICTED: Apis mellifera uncharacterized LOC102653678 (LOC102653678), transcript variant X10, ncRNA"
GB44922,#N/A,#N/A,XR_410707.1," PREDICTED: Apis mellifera uncharacterized LOC102653678 (LOC102653678), transcript variant X15, ncRNA"
GB44923,#N/A,#N/A,XR_410707.1," PREDICTED: Apis mellifera uncharacterized LOC102653678 (LOC102653678), transcript variant X15, ncRNA"
GB44925,#N/A,#N/A,XM_003250876.2," PREDICTED: Apis mellifera ERI1 exoribonuclease 3-like (LOC100576286), partial mRNA"
GB44926,FBpp0073720,FBgn0030554,XM_006566765.1," PREDICTED: Apis mellifera tRNA-dihydrouridine synthase 2-like (LOC410264), mRNA"
GB44927,FBpp0075982,FBgn0001179,XM_624122.4," PREDICTED: Apis mellifera DNA excision repair protein haywire (hay), transcript variant X3, mRNA"
GB44928,FBpp0071669,FBgn0067102,XM_395023.5," PREDICTED: Apis mellifera ceramide glucosyltransferase (GlcT-1), mRNA"
GB44929,#N/A,#N/A,XM_001122291.3," PREDICTED: Apis mellifera uncharacterized LOC726564 (LOC726564), transcript variant X1, mRNA"
GB44930,FBpp0088078,FBgn0033166,XM_006566607.1," PREDICTED: Apis mellifera ell-associated factor Eaf-like (LOC411433), transcript variant X1, mRNA"
GB44931,FBpp0078296,FBgn0028436,XM_006566606.1," PREDICTED: Apis mellifera evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial-like (LOC726612), mRNA"
GB44932,FBpp0112101,FBgn0037186,XM_006566605.1," PREDICTED: Apis mellifera alanine--glyoxylate aminotransferase 2, mitochondrial-like (LOC100576186), mRNA"
GB44933,FBpp0085614,FBgn0034498,XM_006566603.1," PREDICTED: Apis mellifera VWFA and cache domain-containing protein CG16868 ortholog (LOC412944), transcript variant X1, mRNA"
GB44934,FBpp0070651,FBgn0022942,XM_392985.5," PREDICTED: Apis mellifera cap binding protein 80 (Cbp80), transcript variant X1, mRNA"
GB44935,FBpp0083913,FBgn0025574,XM_006566589.1," PREDICTED: Apis mellifera pellino (Pli), transcript variant X1, mRNA"
GB44936,FBpp0081628,FBgn0037770,XM_003250827.2," PREDICTED: Apis mellifera histone-arginine methyltransferase CARMER-like (LOC411458), transcript variant 1, mRNA"
GB44937,FBpp0075946,FBgn0052076,XM_006566585.1," PREDICTED: Apis mellifera putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase-like (LOC102655688), mRNA"
GB44938,FBpp0112244,FBgn0040780,XM_006566578.1," PREDICTED: Apis mellifera ubiquitin-like-conjugating enzyme ATG10-like (LOC726781), transcript variant X15, mRNA"
GB44939,FBpp0079400,FBgn0026439,XM_006566562.1," PREDICTED: Apis mellifera excitatory amino acid transporter 1-like (LOC409919), transcript variant X4, mRNA"
GB44940,FBpp0083989,FBgn0039183,XM_397381.5," PREDICTED: Apis mellifera exosome complex exonuclease RRP44-like (LOC413944), transcript variant X2, mRNA"
GB44941,FBpp0079951,FBgn0020443,XM_397380.3," PREDICTED: Apis mellifera Ef1alpha-like factor (Elf), mRNA"
GB44942,FBpp0083991,FBgn0011581,XM_006566550.1," PREDICTED: Apis mellifera myosuppressin (MS), transcript variant X1, mRNA"
GB44943,FBpp0071065,FBgn0029997,XM_392676.5," PREDICTED: Apis mellifera NCK-interacting protein with SH3 domain-like (LOC409152), transcript variant X1, mRNA"
GB44944,FBpp0084900,FBgn0002924,XM_001122238.3," PREDICTED: Apis mellifera kinesin 14 (kinesin-14), transcript variant X1, mRNA"
GB44945,#N/A,#N/A,XM_006566547.1," PREDICTED: Apis mellifera putative leucine-rich repeat-containing protein DDB_G0290503-like (LOC102654041), mRNA"
GB44946,FBpp0289234,FBgn0259704,XM_393743.5," PREDICTED: Apis mellifera putative methyltransferase NSUN5-like (LOC410262), mRNA"
GB44947,#N/A,#N/A,XM_006566540.1," PREDICTED: Apis mellifera echinoderm microtubule-associated protein-like CG42247 (LOC410261), transcript variant X1, mRNA"
GB44948,FBpp0288783,FBgn0259099,XM_006566542.1," PREDICTED: Apis mellifera echinoderm microtubule-associated protein-like CG42247 (LOC410261), transcript variant X3, mRNA"
GB44950,#N/A,#N/A,XM_006566539.1," PREDICTED: Apis mellifera uncharacterized LOC100578910 (LOC100578910), mRNA"
GB44952,#N/A,#N/A,XR_410677.1," PREDICTED: Apis mellifera uncharacterized LOC102656859 (LOC102656859), transcript variant X2, ncRNA"
GB44954,#N/A,#N/A,XR_410671.1," PREDICTED: Apis mellifera uncharacterized LOC100577828 (LOC100577828), transcript variant X3, ncRNA"
GB44955,#N/A,#N/A,XR_410671.1," PREDICTED: Apis mellifera uncharacterized LOC100577828 (LOC100577828), transcript variant X3, ncRNA"
GB44956,#N/A,#N/A,XR_410671.1," PREDICTED: Apis mellifera uncharacterized LOC100577828 (LOC100577828), transcript variant X3, ncRNA"
GB44957,#N/A,#N/A,XR_410665.1," PREDICTED: Apis mellifera uncharacterized LOC102656537 (LOC102656537), transcript variant X3, ncRNA"
GB44958,#N/A,#N/A,XR_410661.1," PREDICTED: Apis mellifera uncharacterized LOC100578878 (LOC100578878), transcript variant X3, ncRNA"
GB44959,#N/A,#N/A,NM_001277301.1," Apis mellifera uncharacterized LOC408316 (LOC408316), mRNA"
GB44960,FBpp0078831,FBgn0031781,XM_001122049.3," PREDICTED: Apis mellifera actin related protein 2/3 complex subunit 4 (Arpc4), mRNA"
GB44961,FBpp0088208,FBgn0042696,XM_006566531.1," PREDICTED: Apis mellifera uncharacterized LOC410259 (LOC410259), transcript variant X1, mRNA"
GB44962,#N/A,#N/A,XM_006566532.1," PREDICTED: Apis mellifera uncharacterized LOC410259 (LOC410259), transcript variant X2, mRNA"
GB44963,#N/A,#N/A,XR_410647.1," PREDICTED: Apis mellifera uncharacterized LOC102655785 (LOC102655785), transcript variant X1, ncRNA"
GB44964,FBpp0079432,FBgn0032130,XM_006566523.1," PREDICTED: Apis mellifera uncharacterized LOC408314 (LOC408314), transcript variant X3, mRNA"
GB44965,#N/A,#N/A,XM_003250818.2," PREDICTED: Apis mellifera selenide, water dikinase (SelD), mRNA"
GB44966,FBpp0086690,FBgn0261270,XM_003250818.2," PREDICTED: Apis mellifera selenide, water dikinase (SelD), mRNA"
GB44967,FBpp0081806,FBgn0042094,XM_624887.4," PREDICTED: Apis mellifera adenylate kinase 3 (Adk3), transcript variant X2, mRNA"
GB44968,FBpp0088248,FBgn0019985,XM_006566244.1," PREDICTED: Apis mellifera metabotropic glutamate receptor 1 (mGlutR1), transcript variant X2, mRNA"
GB44969,FBpp0073781,FBgn0030612,XM_624933.4," PREDICTED: Apis mellifera lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial-like (LOC552557), mRNA"
GB44970,FBpp0070180,FBgn0040348,XM_393737.5," PREDICTED: Apis mellifera RUN domain-containing protein 1-like (LOC410255), mRNA"
GB44971,#N/A,#N/A,XM_006566763.1," PREDICTED: Apis mellifera replication factor C subunit 4-like (LOC726018), mRNA"
GB44972,FBpp0110406,FBgn0260799,XM_006566502.1," PREDICTED: Apis mellifera catenin delta-2-like (LOC408311), transcript variant X5, mRNA"
GB44973,#N/A,#N/A,XM_006566511.1," PREDICTED: Apis mellifera uncharacterized LOC725952 (LOC725952), mRNA"
GB44974,FBpp0088173,FBgn0028996,XM_006566493.1," PREDICTED: Apis mellifera homeobox protein onecut (onecut), transcript variant X1, mRNA"
GB44975,#N/A,#N/A,XM_006566491.1," PREDICTED: Apis mellifera uncharacterized LOC100577041 (LOC100577041), transcript variant X2, mRNA"
GB44976,FBpp0078706,FBgn0016076,XM_003250814.2," PREDICTED: Apis mellifera vrille (Vri), transcript variant X1, mRNA"
GB44977,#N/A,#N/A,XM_006566488.1," PREDICTED: Apis mellifera uncharacterized LOC102654161 (LOC102654161), mRNA"
GB44978,FBpp0079207,FBgn0031996,XM_006566760.1," PREDICTED: Apis mellifera chitinase domain-containing protein 1-like (LOC552683), partial mRNA"
GB44980,#N/A,#N/A,XM_392781.5," PREDICTED: Apis mellifera epidermal retinol dehydrogenase 2-like (LOC409260), transcript variant X1, mRNA"
GB44981,FBpp0081035,FBgn0032910,XM_392781.5," PREDICTED: Apis mellifera epidermal retinol dehydrogenase 2-like (LOC409260), transcript variant X1, mRNA"
GB44982,FBpp0080990,FBgn0010395,XM_003250812.2," PREDICTED: Apis mellifera integrin beta-nu-like (LOC100576742), transcript variant X1, mRNA"
GB44983,FBpp0079072,FBgn0031912,XM_003250810.2," PREDICTED: Apis mellifera dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial-like (LOC100576646), partial mRNA"
GB44984,FBpp0077778,FBgn0031229,XM_625090.3," PREDICTED: Apis mellifera u5 small nuclear ribonucleoprotein 40 kDa protein-like (LOC552715), transcript variant X2, mRNA"
GB44985,#N/A,#N/A,XM_001121442.3," PREDICTED: Apis mellifera serine/threonine-protein kinase RIO3-like (LOC725615), transcript variant X1, mRNA"
GB44986,#N/A,#N/A,XM_006566474.1," PREDICTED: Apis mellifera uncharacterized LOC102656725 (LOC102656725), mRNA"
GB44987,#N/A,#N/A,XM_001121305.3," PREDICTED: Apis mellifera vesicular glutamate transporter 2.1-like (LOC725462), transcript variant X1, mRNA"
GB44988,#N/A,#N/A,NM_001167836.1," Apis mellifera prohormone-2 (LOC409314), mRNA"
GB44989,#N/A,#N/A,XM_006566471.1," PREDICTED: Apis mellifera protein TANC1-like (LOC102656637), mRNA"
GB44990,FBpp0074926,FBgn0036761,XM_006566473.1," PREDICTED: Apis mellifera mediator of RNA polymerase II transcription subunit 19 (MED19), transcript variant X2, mRNA"
GB44991,FBpp0073996,FBgn0011571,XM_006566468.1," PREDICTED: Apis mellifera uncharacterized LOC552303 (LOC552303), transcript variant X1, mRNA"
GB44992,#N/A,#N/A,XM_006566466.1," PREDICTED: Apis mellifera uncharacterized LOC100576176 (LOC100576176), mRNA"
GB44993,#N/A,#N/A,XR_410633.1," PREDICTED: Apis mellifera uncharacterized LOC102656066 (LOC102656066), transcript variant X1, ncRNA"
GB44994,FBpp0074161,FBgn0260747,XM_391859.5," PREDICTED: Apis mellifera coiled-coil-helix-coiled-coil-helix domain-containing protein 2, mitochondrial-like (LOC408308), mRNA"
GB44995,#N/A,#N/A,XM_006566462.1," PREDICTED: Apis mellifera coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial-like (LOC100578540), mRNA"
GB44996,#N/A,#N/A,XM_006566255.1," PREDICTED: Apis mellifera hexamerin 110 (Hex110), transcript variant X1, mRNA"
GB44997,FBpp0111665,FBgn0085478,XM_006566461.1," PREDICTED: Apis mellifera uncharacterized LOC551683 (LOC551683), transcript variant X2, mRNA"
GB44998,FBpp0081544,FBgn0037707,XM_006566455.1," PREDICTED: Apis mellifera RNA-binding protein S1 (RnpS1), transcript variant X1, mRNA"
GB44999,FBpp0074251,FBgn0263258,NM_001278681.1," Apis mellifera chascon-like (LOC100578439), mRNA"
GB45000,FBpp0086049,FBgn0034262,XM_006566416.1," PREDICTED: Apis mellifera protein singed wings 2-like (LOC100578716), mRNA"
GB45001,FBpp0083185,FBgn0086613,XM_006566454.1," PREDICTED: Apis mellifera putative DNA helicase Ino80-like (LOC410352), mRNA"
GB45002,#N/A,#N/A,NM_001278681.1," Apis mellifera chascon-like (LOC100578439), mRNA"
GB45004,#N/A,#N/A,XR_410612.1," PREDICTED: Apis mellifera uncharacterized LOC100578475 (LOC100578475), transcript variant X2, ncRNA"
GB45005,#N/A,#N/A,XM_006566412.1," PREDICTED: Apis mellifera neurogenic locus protein delta (Dl), mRNA"
GB45006,#N/A,#N/A,XR_410599.1," PREDICTED: Apis mellifera uncharacterized LOC100578317 (LOC100578317), transcript variant X1, ncRNA"
GB45007,#N/A,#N/A,XR_410601.1," PREDICTED: Apis mellifera uncharacterized LOC100578317 (LOC100578317), transcript variant X3, ncRNA"
GB45008,FBpp0301081,FBgn0036460,XM_393830.5," PREDICTED: Apis mellifera angio-associated migratory cell protein-like (LOC410350), transcript variant X2, mRNA"
GB45009,FBpp0074025,FBgn0040207,XM_393828.4," PREDICTED: Apis mellifera katanin 80 (kat80), transcript variant X2, mRNA"
GB45010,#N/A,#N/A,XM_001120321.3," PREDICTED: Apis mellifera leucine-rich repeat-containing protein 23-like (LOC724459), mRNA"
GB45011,#N/A,#N/A,XM_001120321.3," PREDICTED: Apis mellifera leucine-rich repeat-containing protein 23-like (LOC724459), mRNA"
GB45012,FBpp0073847,FBgn0014455,XM_391917.5," PREDICTED: Apis mellifera adenosylhomocysteinase (LOC408368), mRNA"
GB45013,FBpp0112552,FBgn0058196,XM_624524.4," PREDICTED: Apis mellifera repressor of RNA polymerase III transcription MAF1 homolog (LOC552145), mRNA"
GB45014,FBpp0073659,FBgn0027537,XM_393823.4," PREDICTED: Apis mellifera nuclear pore complex protein Nup93-like (LOC410343), mRNA"
GB45015,FBpp0080866,FBgn0032848,XM_001119910.3," PREDICTED: Apis mellifera SHC SH2 domain-binding protein 1 homolog B-like (LOC724154), transcript variant X1, mRNA"
GB45016,#N/A,#N/A,XM_006566399.1," PREDICTED: Apis mellifera RNA pseudouridylate synthase domain-containing protein 2-like (LOC410341), transcript variant X1, mRNA"
GB45017,FBpp0293072,FBgn0032256,XM_624653.3," PREDICTED: Apis mellifera RNA pseudouridylate synthase domain-containing protein 2-like (LOC410341), transcript variant X4, mRNA"
GB45018,FBpp0078842,FBgn0031779,XM_393821.5," PREDICTED: Apis mellifera prolactin regulatory element-binding protein-like (LOC410340), mRNA"
GB45019,#N/A,#N/A,XM_006566395.1," PREDICTED: Apis mellifera vermiform (verm), transcript variant X2, mRNA"
GB45020,FBpp0113112,FBgn0036851,XM_391914.5," PREDICTED: Apis mellifera uncharacterized LOC408364 (LOC408364), transcript variant X2, mRNA"
GB45023,FBpp0080749,FBgn0032783,XM_006566390.1," PREDICTED: Apis mellifera alpha-tocopherol transfer protein-like (LOC408361), transcript variant X3, mRNA"
GB45024,FBpp0113013,FBgn0050051,XM_624834.4," PREDICTED: Apis mellifera transmembrane protein 18-like (LOC552460), mRNA"
GB45025,FBpp0077873,FBgn0037008,XM_393820.5," PREDICTED: Apis mellifera mTERF domain-containing protein 1, mitochondrial-like (LOC410339), mRNA"
GB45026,FBpp0075396,FBgn0036488,XM_006566386.1," PREDICTED: Apis mellifera reactive oxygen species modulator 1-like (LOC727012), mRNA"
GB45027,#N/A,#N/A,XR_410585.1," PREDICTED: Apis mellifera uncharacterized LOC102655046 (LOC102655046), transcript variant X1, ncRNA"
GB45028,FBpp0297739,FBgn0031741,NM_001126243.1," Apis mellifera venom dipeptidylpeptidase IV (LOC410337), mRNA"
GB45029,FBpp0289380,FBgn0040017,XM_006566380.1," PREDICTED: Apis mellifera dipeptidyl aminopeptidase-like protein 6-like (LOC410336), transcript variant X3, mRNA"
GB45030,#N/A,#N/A,XM_001122679.3," PREDICTED: Apis mellifera meiotic W68 (mei-W68), mRNA"
GB45031,FBpp0079451,FBgn0014179,XM_006566376.1," PREDICTED: Apis mellifera uncharacterized LOC410334 (LOC410334), transcript variant X1, mRNA"
GB45032,#N/A,#N/A,XR_410579.1," PREDICTED: Apis mellifera fatty acid desaturase 1-like (LOC726913), transcript variant X17, misc_RNA"
GB45033,#N/A,#N/A,XM_006566368.1," PREDICTED: Apis mellifera fatty acid desaturase 1-like (LOC726913), transcript variant X2, mRNA"
GB45034,FBpp0080542,FBgn0032652,XM_006566369.1," PREDICTED: Apis mellifera fatty acid desaturase 1-like (LOC726913), transcript variant X3, mRNA"
GB45035,FBpp0072161,FBgn0034978,XM_001122612.3," PREDICTED: Apis mellifera uncharacterized LOC726896 (LOC726896), mRNA"
GB45036,FBpp0078859,FBgn0031762,XM_393813.5," PREDICTED: Apis mellifera breast cancer anti-estrogen resistance protein 3-like (LOC410332), transcript variant X2, mRNA"
GB45037,FBpp0079258,FBgn0031987,XM_391907.3," PREDICTED: Apis mellifera beta-lactamase-like protein 2 homolog (LOC408355), transcript variant X2, mRNA"
GB45038,FBpp0077872,FBgn0037010,XM_393811.5," PREDICTED: Apis mellifera phosphatidylserine synthase 1-like (LOC410330), transcript variant X4, mRNA"
GB45039,#N/A,#N/A,XM_006566357.1," PREDICTED: Apis mellifera protein SLC7A6OS-like (LOC726800), mRNA"
GB45040,FBpp0077743,FBgn0043364,XM_006566351.1," PREDICTED: Apis mellifera uncharacterized LOC410326 (LOC410326), transcript variant X1, mRNA"
GB45041,FBpp0079209,FBgn0031997,NM_001278705.1," Apis mellifera metallophosphoesterase 1 homolog (LOC552716), mRNA"
GB45042,FBpp0078766,FBgn0031736,NM_001278707.1," Apis mellifera neuroguidin-A-like (LOC552729), mRNA"
GB45043,#N/A,#N/A,XM_006566350.1," PREDICTED: Apis mellifera uncharacterized LOC409396 (LOC409396), transcript variant X5, mRNA"
GB45044,FBpp0290163,FBgn0031637,XM_006566347.1," PREDICTED: Apis mellifera uncharacterized LOC409396 (LOC409396), transcript variant X2, mRNA"
GB45045,#N/A,#N/A,XM_625129.4," PREDICTED: Apis mellifera uncharacterized LOC552753 (LOC552753), transcript variant X3, mRNA"
GB45046,FBpp0076371,FBgn0035918,XM_006566341.1," PREDICTED: Apis mellifera cell division control protein 6 homolog (Cdc6), mRNA"
GB45047,FBpp0075382,FBgn0023174,XM_391905.5," PREDICTED: Apis mellifera proteasome subunit beta type-7-like (LOC408353), mRNA"
GB45049,FBpp0293284,FBgn0013810,XM_006566337.1," PREDICTED: Apis mellifera dynein, axonemal, heavy chain 7 (DNAH7), mRNA"
GB45050,FBpp0080539,FBgn0032651,XM_001122321.3," PREDICTED: Apis mellifera uncharacterized LOC726594 (LOC726594), mRNA"
GB45051,FBpp0077443,FBgn0261647,XM_006566331.1," PREDICTED: Apis mellifera uncharacterized LOC408351 (LOC408351), transcript variant X3, mRNA"
GB45052,FBpp0075535,FBgn0026376,XM_003250871.2," PREDICTED: Apis mellifera Ral guanine nucleotide exchange factor (Rgl), mRNA"
GB45053,#N/A,#N/A,XM_006566322.1," PREDICTED: Apis mellifera whirlin-like (LOC410320), transcript variant X1, mRNA"
GB45054,#N/A,#N/A,XM_006566322.1," PREDICTED: Apis mellifera whirlin-like (LOC410320), transcript variant X1, mRNA"
GB45055,FBpp0288565,FBgn0085429,XM_006566327.1," PREDICTED: Apis mellifera whirlin-like (LOC410320), transcript variant X6, mRNA"
GB45056,#N/A,#N/A,XM_001120691.3," PREDICTED: Apis mellifera uncharacterized LOC726407 (LOC726407), transcript variant X1, mRNA"
GB45057,#N/A,#N/A,XM_001120691.3," PREDICTED: Apis mellifera uncharacterized LOC726407 (LOC726407), transcript variant X1, mRNA"
GB45058,FBpp0075999,FBgn0036107,XM_625166.4," PREDICTED: Apis mellifera MIP18 family protein CG7949-like (LOC552791), mRNA"
GB45060,#N/A,#N/A,XR_410551.1," PREDICTED: Apis mellifera uncharacterized LOC102654628 (LOC102654628), transcript variant X1, ncRNA"
GB45062,#N/A,#N/A,XM_392622.5," PREDICTED: Apis mellifera apterous (ap), transcript variant X2, mRNA"
GB45063,FBpp0085394,FBgn0000099,XM_003250843.2," PREDICTED: Apis mellifera LIM/homeobox protein Lhx9-like (LOC726415), mRNA"
GB45064,#N/A,#N/A,XM_006566756.1," PREDICTED: Apis mellifera otoferlin-like (LOC410318), mRNA"
GB45065,#N/A,#N/A,XM_006566756.1," PREDICTED: Apis mellifera otoferlin-like (LOC410318), mRNA"
GB45067,#N/A,#N/A,XM_006566310.1," PREDICTED: Apis mellifera small conductance calcium-activated potassium channel (SK), transcript variant X1, mRNA"
GB45068,#N/A,#N/A,XR_412574.1," PREDICTED: Apis mellifera uncharacterized LOC102656770 (LOC102656770), ncRNA"
GB45069,#N/A,#N/A,XM_393798.5," PREDICTED: Apis mellifera small conductance calcium-activated potassium channel (SK), transcript variant X5, mRNA"
GB45070,FBpp0291163,FBgn0029761,XM_393798.5," PREDICTED: Apis mellifera small conductance calcium-activated potassium channel (SK), transcript variant X5, mRNA"
GB45071,FBpp0084559,FBgn0040080,XM_393796.5," PREDICTED: Apis mellifera rapsynoid (raps), mRNA"
GB45072,#N/A,#N/A,XM_006566306.1," PREDICTED: Apis mellifera androglobin-like (LOC102653840), mRNA"
GB45073,#N/A,#N/A,XM_003250856.2," PREDICTED: Apis mellifera fibrillin-2-like (LOC100577456), mRNA"
GB45074,#N/A,#N/A,XM_006566308.1," PREDICTED: Apis mellifera SOX domain-containing protein dichaete-like (LOC102653993), mRNA"
GB45075,FBpp0075489,FBgn0042630,XM_006566309.1," PREDICTED: Apis mellifera uncharacterized LOC726180 (LOC726180), transcript variant X2, mRNA"
GB45076,#N/A,#N/A,XM_001121910.2," PREDICTED: Apis mellifera uncharacterized LOC726150 (LOC726150), mRNA"
GB45077,FBpp0084103,FBgn0015625,XM_397108.4," PREDICTED: Apis mellifera G2/mitotic-specific cyclin-B3 (CycB3), transcript variant X2, mRNA"
GB45078,#N/A,#N/A,NM_001242985.1," Apis mellifera odorant receptor 98 (Or98), mRNA"
GB45079,#N/A,#N/A,XM_006566752.1," PREDICTED: Apis mellifera uncharacterized LOC102655147 (LOC102655147), mRNA"
GB45080,#N/A,#N/A,XM_006566752.1," PREDICTED: Apis mellifera uncharacterized LOC102655147 (LOC102655147), mRNA"
GB45081,#N/A,#N/A,NM_001242986.1," Apis mellifera odorant receptor 105 (Or105), mRNA"
GB45082,FBpp0076186,FBgn0015296,XM_006566291.1," PREDICTED: Apis mellifera SHC-transforming protein 1-like (LOC412172), transcript variant X6, mRNA"
GB45083,FBpp0074616,FBgn0036964,XM_625203.3," PREDICTED: Apis mellifera protein FRG1 homolog (LOC552828), mRNA"
GB45084,#N/A,#N/A,XM_006566285.1," PREDICTED: Apis mellifera exportin-4-like (LOC725887), mRNA"
GB45085,FBpp0090944,FBgn0053506,XM_006566252.1," PREDICTED: Apis mellifera pre-mRNA-processing factor 40 homolog A-like (LOC413108), transcript variant X2, mRNA"
GB45086,FBpp0077333,FBgn0031492,NM_001278679.1," Apis mellifera pre-mRNA-processing factor 40 homolog A-like (LOC413108), mRNA"
GB45087,FBpp0078099,FBgn0037138,XM_006566263.1," PREDICTED: Apis mellifera delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial-like (LOC551113), transcript variant X1, mRNA"
GB45088,#N/A,#N/A,XM_006566262.1," PREDICTED: Apis mellifera uncharacterized LOC102655564 (LOC102655564), mRNA"
GB45089,#N/A,#N/A,XM_006566260.1," PREDICTED: Apis mellifera uncharacterized LOC413109 (LOC413109), mRNA"
GB45091,#N/A,#N/A,XM_006566260.1," PREDICTED: Apis mellifera uncharacterized LOC413109 (LOC413109), mRNA"
GB45092,FBpp0289296,FBgn0029962,XM_003250821.2," PREDICTED: Apis mellifera carbonic anhydrase-related protein 10-like (LOC100577879), transcript variant X1, mRNA"
GB45094,FBpp0071945,FBgn0034854,XM_006566265.1," PREDICTED: Apis mellifera golgin subfamily A member 4-like (LOC725689), mRNA"
GB45096,#N/A,#N/A,NM_001278706.1," Apis mellifera uncharacterized LOC725821 (LOC725821), mRNA"
GB45098,FBpp0086773,FBgn0000662,XM_006566266.1," PREDICTED: Apis mellifera pre-mRNA-splicing regulator female lethal D (LOC552833), transcript variant X1, mRNA"
GB45099,FBpp0086226,FBgn0010213,NM_001178048.1," Apis mellifera superoxide dismutase 2, mitochondrial (Sod2), mRNA"
GB45100,#N/A,#N/A,XM_006566281.1," PREDICTED: Apis mellifera kinesin 3B (kinesin-3B), transcript variant X14, mRNA"
GB45101,FBpp0086227,FBgn0034155,XM_006566276.1," PREDICTED: Apis mellifera kinesin 3B (kinesin-3B), transcript variant X9, mRNA"
GB45102,FBpp0070165,FBgn0040347,XM_006566751.1," PREDICTED: Apis mellifera mus81 protein (mus81), mRNA"
GB45104,#N/A,#N/A,XM_006566298.1," PREDICTED: Apis mellifera transcription elongation factor S-II-like (LOC102656650), transcript variant X3, mRNA"
GB45105,FBpp0080281,FBgn0010422,XM_006566296.1," PREDICTED: Apis mellifera transcription elongation factor S-II-like (LOC102656650), transcript variant X1, mRNA"
GB45106,FBpp0071166,FBgn0030055,XM_006566295.1," PREDICTED: Apis mellifera run domain Beclin-1 interacting and cystein-rich containing protein-like (LOC413668), transcript variant X1, mRNA"
GB45107,FBpp0075519,FBgn0013563,XM_397107.5," PREDICTED: Apis mellifera peroxisome biogenesis factor 1-like (LOC413666), transcript variant X2, mRNA"
GB45110,#N/A,#N/A,XM_006566307.1," PREDICTED: Apis mellifera aldose 1-epimerase-like (LOC726225), mRNA"
GB45111,FBpp0078377,FBgn0010772,XM_006566755.1," PREDICTED: Apis mellifera uncharacterized LOC410316 (LOC410316), mRNA"
GB45113,FBpp0076000,FBgn0027615,XM_006566321.1," PREDICTED: Apis mellifera mitochondrial inner membrane protein OXA1L-like (LOC408349), mRNA"
GB45114,FBpp0078971,FBgn0086451,XM_393800.5," PREDICTED: Apis mellifera HEAT repeat containing 1 (HEATR1), transcript variant X3, mRNA"
GB45115,#N/A,#N/A,XR_410560.1," PREDICTED: Apis mellifera uncharacterized LOC102654991 (LOC102654991), ncRNA"
GB45117,#N/A,#N/A,XR_410564.1," PREDICTED: Apis mellifera uncharacterized LOC102655340 (LOC102655340), ncRNA"
GB45118,#N/A,#N/A,XR_410561.1," PREDICTED: Apis mellifera uncharacterized LOC102655299 (LOC102655299), transcript variant X1, ncRNA"
GB45119,FBpp0080547,FBgn0032646,XM_006566338.1," PREDICTED: Apis mellifera elongation factor Ts, mitochondrial-like (LOC408352), mRNA"
GB45120,#N/A,#N/A,XM_393805.5," PREDICTED: Apis mellifera villin-like protein quail (qua), transcript variant X3, mRNA"
GB45122,FBpp0072573,FBgn0029514,XM_003250857.2," PREDICTED: Apis mellifera uncharacterized protein C7orf30-like (LOC100577644), mRNA"
GB45123,FBpp0088525,FBgn0034279,XM_006566342.1," PREDICTED: Apis mellifera uncharacterized LOC726695 (LOC726695), transcript variant X1, mRNA"
GB45125,FBpp0080257,FBgn0001974,XM_006566344.1," PREDICTED: Apis mellifera mRNA cap guanine-N7 methyltransferase-like (LOC412277), mRNA"
GB45126,FBpp0073822,FBgn0004924,XM_396203.5," PREDICTED: Apis mellifera DNA topoisomerase 1 (Top1), transcript variant 2, mRNA"
GB45127,FBpp0080109,FBgn0028541,XM_625098.4," PREDICTED: Apis mellifera transmembrane 9 superfamily member 4-like (LOC552723), transcript variant 1, mRNA"
GB45128,FBpp0079454,FBgn0028479,XM_393806.5," PREDICTED: Apis mellifera enoyl-coA-hydratase (LOC410325), mRNA"
GB45130,#N/A,#N/A,XR_120308.2," PREDICTED: Apis mellifera uncharacterized LOC100576483 (LOC100576483), ncRNA"
GB45131,FBpp0301730,FBgn0003963,XM_006566362.1," PREDICTED: Apis mellifera zinc finger protein ush-like (LOC100577801), transcript variant X6, mRNA"
